actual,word,score
sit,wage,-0.02704188579030344
sit,rule,0.05301524146389179
sit,keys,0.005006030431859168
sit,end,0.116122567424418
sit,take,0.49093776770319386
sit,tall,-0.02909161348848769
sit,dose,0.23719598516186896
sit,tass,0.3561025244919831
sit,toss,-0.02171838606382978
sit,mess,0.18164805000153084
sit,imp,0.10593733995492638
sit,feet,0.40894051235170586
sit,chin,0.6184318240527447
sit,but,0.18255766498978512
sit,live,-0.022579464272744834
sit,song,0.06612600056241942
sit,tin,0.4996109969655188
sit,this,0.5011438327637393
sit,miss,0.3829182729553391
sit,its,0.2422845213269216
sit,sat,0.5168069860537527
sit,set,0.5477873295951784
sit,sick,0.7844119449791318
sit,pit,0.6249858454815415
sit,hit,0.4133108848576602
plant,screech,0.09743184416443723
plant,bricks,0.036591208198597236
plant,crowd,0.19638015631937827
plant,waves,-0.18543893209376247
plant,harmed,0.3151148417866924
plant,limps,0.19790854571395156
plant,drink,0.0892817461582754
plant,smart,0.44633096133181205
plant,blamed,0.4159683852831197
plant,parks,0.10589186256932517
plant,grams,0.1905965040767245
plant,cramp,0.46435928527994064
plant,flushed,0.05296393907020852
plant,blond,0.5437800209505413
plant,pierced,0.09542762890104083
plant,stand,0.33886955314377054
plant,plots,0.49846709310181764
plant,split,0.4262086296846454
plant,prank,0.6222086991972635
plant,grant,0.5993467171946502
plant,plast,0.728936411020524
plant,plint,0.7592884674540559
plant,plans,0.6734818392901355
plant,prant,0.8678348418038179
plant,slant,0.7082747780261635
wonder,sickles,-0.09463139970238153
wonder,tossing,-0.19161368996710884
wonder,locket,-0.02973326943304372
wonder,raising,-0.15740790750179173
wonder,rapid,-0.13211090014718105
wonder,chinning,-0.16078982602492553
wonder,bucket,-0.18228768446504556
wonder,cradle,-0.09636343063766377
wonder,willows,0.18031116680162684
wonder,member,0.36628912989243456
wonder,colors,0.034850881040713114
wonder,handle,0.17875964816522538
wonder,butler,0.1753011270447445
wonder,danger,0.41151828932357903
wonder,widows,0.23191055354877466
wonder,bundle,0.21566184143240447
wonder,tender,0.5466441882260876
wonder,windle,0.4739428765376714
wonder,welder,0.7110677305955097
wonder,winter,0.5625430069430378
wonder,wuzder,0.5425437320960321
wonder,wundle,0.6085405877472985
wonder,wander,0.7988376151797798
wonder,sunder,0.6555616001983666
wonder,wunter,0.7234765141423803
relation,get,-0.016403509418493247
relation,asthmatic,-0.11809572808571725
relation,deters,-0.03224444864696552
relation,hesitate,0.08665235605753711
relation,fascinating,-0.09179092067645306
relation,sun,0.06901807493111767
relation,effect,-0.09121981075406085
relation,become,-0.0409072968942132
relation,rich,0.06813678893366225
relation,legislates,0.1582734036200914
relation,mechanic,-0.05911751928689487
relation,underwritten,-0.00901001441374646
relation,pain,-0.11264765052425177
relation,lash,0.554764312181901
relation,rush,0.4686814388641519
relation,repel,0.17819446411975548
relation,inhibition,0.5438839579951242
relation,emotions,0.36641194784965947
relation,resolution,0.5288296111225738
relation,laceration,0.6300968068764526
relation,revision,0.5105172294600594
relation,relate,0.29598281444925245
relation,location,0.6217456918265774
relation,ration,0.7437038126260014
relation,belation,0.7807956404831041
