type,symbol,info
vovel,अ,start
vovel,आ,start
vovel,इ,start
vovel,ई,start
vovel,उ,start
vovel,ऊ,start
vovel,ए,start
vovel,ऐ,start
vovel,ओ,start
vovel,औ,start
vovel,ऋ,start
vovel,ॠ,start
vovel,ऌ,sanskrit
vovel,ॡ,sanskrit
vovel,ऽ,sanskrit
consonant,क,standard
consonant,ख,standard
consonant,ग,standard
consonant,घ,standard
consonant,ङ,standard
consonant,च,standard
consonant,छ,standard
consonant,ज,standard
consonant,झ,standard
consonant,ञ,standard
consonant,ट,standard
consonant,ठ,standard
consonant,ड,standard
consonant,ढ,standard
consonant,ण,standard
consonant,त,standard
consonant,थ,standard
consonant,द,standard
consonant,ध,standard
consonant,न,standard
consonant,प,standard
consonant,फ,standard
consonant,ब,standard
consonant,भ,standard
consonant,म,standard
consonant,य,standard
consonant,र,standard
consonant,ल,standard
consonant,व,standard
consonant,श,standard
consonant,ष,standard
consonant,स,standard
consonant,ह,standard
matra,ं,anusvar
matra,ः,visarg
matra,ँ,chandra
matra,ा,after
matra,ि,after
matra,ी,after
matra,ु,after
matra,ू,after
matra,े,after
matra,ै,after
matra,ो,after
matra,ौ,after
matra,ृ,after
matra,ॄ,sanskrit
viram,्,after
matra,़,nukta
consonant,क़,persian
consonant,ख़,persian
consonant,ग़,persian
consonant,ज़,persian
consonant,ड़,persian
consonant,ढ़,persian
consonant,फ़,persian
consonant,य़,persian
consonant,ऩ,persian
consonant,ऱ,persian
vovel,ॲ,start
vovel,ऑ,start
matra,ॅ,after
matra,ॉ,after
